UnicodeRanges
	0020	024F
	2000	206F
	3000	303F
	3400	4DB5
	4E00	9FCB
	FF00	FFEF

FontOverride	Exo-Regular.otf	MFShangHei_Noncommercial_Light_CDE.otf
FontOverride	SourceCodePro-Regular.otf	MFShangHei_Noncommercial_Light_CDE.otf
FontOverride	Titillium-Regular.otf	MFShangHei_Noncommercial_Light_CDE.otf
FontOverride	Akashi.ttf	MFShangHei_Noncommercial_Light_CDE.otf
FontOverride	Nobile-Regular.ttf	MFShangHei_Noncommercial_Light_CDE.otf

GameTitle	Children of a Dead Earth
	一旦杰弗逊元帅成了泰坦轨道上的一个冒烟的尘埃后，USTA的末日就真的到了，他们最后的太空部队也战败了，我们与其他的小势力，比如自由贸易公会和易洛魁复兴会，将会瓜分土星的卫星，新日本国的经济很快就会崩溃，届时，我们将是最后的胜利者，我们将会是站在对手残骸上的人，太阳系将会是我们的！
	让我们为之骄傲；让你的母亲，我们的总统，为之自豪；让我们成为太阳系中最伟大的势力！
Level The Fall of Titan ShortDescription	指挥一支从土卫二启航的舰队歼灭所有位于土卫六轨道上的敌方目标。

Level18Start1	你就是那个在小行星704杀了拉希米中校的人，对吧？你当时真的应该听听他说的，他告诉你的是真相。
Level18Start2	当然，你已经杀了这么多人了，我猜哪怕你已经听过了，也不会在意的。
Level18Combat1	你的母亲知道你对太阳系，乃至对人类造成的伤害吗？
Level18Combat2	凭一己之力让人类倒退一百年的感觉舒服不？你真的为你的所作所为感到自豪？
Level18Failure	你的进攻被挫败了，但你对人类造成的伤害将会成为一道永远不会愈合的伤痕。
Level18Success1	我最后的愿望...是有朝一日，你的母亲能明白...明白她造下的最大的孽就是...将你带到这个世界上...
Level18Success2	你做到了！土星是我们的了！现在全太阳系的人都会屈服于我们，而我们，将要被加冕为他们的王！

Ending1Message
	随着他们的主力舰队被歼灭，USTA的太空军已经支离破碎了。
	我们的增援舰队已经进入了土星轨道，正在有条不絮地清除那些溃军。偶尔会有几处小麻烦，某些地方有零星的抵抗，一支USTA舰队甚至还有胆子现在才冒出来请求投降。他们，都会被歼灭殆尽。
	我们会将他们一网打尽，不只是为了巩固我们的霸权，而是要把他们变成一个榜样，让别人知道反抗我们的下场。
	真相就是，我们不只是想要USTA的无条件投降，我们想要的，是看着他们统统跪下，祈求我们的仁慈！
	USTA的投降书上的每一条条款都会成为对敢于挑战我们地位之人的警告，只要在历史中留下你的无情，今后的威胁就会自然平息。
	我们怀疑新日本国已经重新考虑是否结束未来的敌对行为，但愿USTA的毁灭能迫使他们今后在做出鲁莽的行为前再三考虑。
	我们的共和国已经占领了太阳系的全境，我们会打造它，让它经受住时间的试炼。

Ending2Message1
	此时此刻，我们已经控制了USTA所有的卫星和小行星的轨道。他们的最后一道防线是他们的地面部队：士兵，大炮，和埋藏在地底的导弹井。
	但是呢，这完全不值得担心。
	还记得很久以前你在爱神星救下的那条原型武库船吗？没错，现在是时候展示它真正的用途了，我们的量产型武库船已经进入了土星轨道，此时它们正迫不及待地完成它们的使命。
	它们正逐一将敌人的空间站化为尘埃，它们正用核子火焰将USTA的地下掩体与地壳融化成一体，无穷无尽的核爆光芒盖过了太阳，我真希望你能在此留步欣赏这番烟火盛宴。
	如此多的军事行动多亏了你才得以成功，总司令部对你在这场战争中表现出的忠诚表示赞赏，你的名字会在共和国的每一座城市中传唱，你的声望将会传遍整个太阳系，你已被称作人民的英雄。
	我们的宣传行动会确保如此。

Ending2Message2
	哦对了，有一条总统女士发给你的信息，现在为你传输。

Ending3Message
	至我最亲爱的女儿，
	我现在是如此地为你骄傲，为你这么多年来所做的一切。当我坚持要让你在共和国太空军任职上将时，议会称此为腐败，但通过一次次的成功，你让他们每个人都把话收了回去。
	这些年间，对战争的政治支持曾经很不稳固，但通过你一次次的军事胜利，议会中的多数才下决心将战争进行下去。而且你的成功也巩固了我的政治地位，如果这场战争形势不利的话，我恐怕就会输掉下一次选举了。
	事实上，我曾一度担心我将会是自由人民共和国的最后一任总统，在战争开始之初，USTA胜券在握地对我们发起了偷袭，短时间内侵占了我们大部分领土。在你的帮助下，我们稳住了阵脚，让USTA永远不会奴役我们。
	我知道你一直在困惑于你在这场战争中扮演的角色，但我想让你知道的是，你只是做了正确的事情，我们早已度过了无路可退的难关，现在我们即将赢得胜利，和平又将降临于太阳系。忘掉那些内疚吧，因为我们胜利了。敌人已经被消灭了，你的工作结束了，而我的工作 - 治理这片战火肆虐过后的世界 - 才刚刚开始。
	不要在意那些反对派的陈词滥调。历史会把我们称为将太阳系统一在同一面旗帜下的二人，从我的仁慈与你的无情中，我们将会引出一个和平与繁荣的新纪元。
	你是个英雄，我们人民的救世主，太阳系的征服者，而且最重要的，是你拯救了我的仕途。我亲爱的女儿，任何辞藻也不足以表达我对你的感激、对你的骄傲、对你的爱。
	最好的祝愿，
	总统女士





Faction Republic of the Free People	自由人民共和国
Faction Republic of the Free People AbbreviatedName	RFP
Faction Republic of the Free People ShipPrefix	RSF
Faction Republic of the Free People Description
	自由人民共和国(Republic of the Free People)成立于大灾变后的地球疏散行动，尽管当时许多前主权国家都竭力维持自己的政权，但在劫后余生的一片混乱中它们都几乎全部解体了。共和国是由多个前主权国家的遗民组成，成立之初是作为一个临时的国家联合组织，就像当时如雨后春笋般冒出的同类组织一样。最初的共和国主要由这四个国家的人口组成：印度尼西亚、印度、巴基斯坦和菲律宾。
	在共和国的早期，不同国家之间的理念差异几乎差一点毁了它，这样的一个联盟也只能靠着大灾变亡国灭种的威胁才能勉强维持。数以百万计的人口被疏散到了太空，民族之间的差异最终被淡化了，在经过几十年的融和后整个国家终于变成了一个整体。
	共和国的第一批公民主要来自于印度和巴基斯坦，得益于这两国的天钩能以极其低廉的成本将一箱又一箱的人口发射入LEO(地球低轨道)，送进如沙丁鱼罐头一般拥挤的太空难民营。由于天钩比其他手段便宜将近一个数量级，世界各地被抛下等死的人都蜂拥而至印度尼西亚，一掷千金只求一张登上天钩的船票。
	许多年过去了，疯狂的全民大撤离也终于平息了，各个国家联合组织发现他们现在甚至比自己身为主权国家时的政府还要团结一致，此外他们大多都是由来自不同国家的人口组成，于是到最后，这些联合组织保留了下来，在许许多多年之中随着人类从LEO和月球开始向全太阳系扩张的脚步，被带向了全星系。
	共和国的总部位于火星，同时它在小行星带也有数百个殖民地，其他主要的领主包括月球和天王星的几颗卫星，此外，他们是最靠近人类的昔日故乡地球的阵营，是LEO实质上的控制者，不像其他阵营，共和国对其余行星的影响力非常低，特别是卫星群被大量殖民的四颗气态巨星，许多阵营为了争夺那里丰富的资源而打的不可开交。
Faction Republic of the Free People ShipNames	#Array
	泰拉之子号
	冰封裂解号
	凋零北辰号
	地球之集号
	融合之花号
	奇点之瓣号
	微波荡漾号
	伽玛疏离号
	永恒脉冲号
	无限升格号
	偶极沙漏号
	须臾之频号
	雪绒氘号
	物质波虹号
	音障振波号
	奇异乍现号
	繁华之梦号
	裂解之波号
	太阳之歌号
	磁能之冬号
	太阳风暴号
	太阳风鞘号
	不动如山号
	禁书目录号
	电浆之涌号
	行星之耀号
	磁能之星号
	电击之霜号
	电光氤氲号
	熵之怪妖号
	音律衍射号
	妄想机器号
	冲击宝石号
	春藤女王号
	要塞回响号
	太空怪鳐号
	玻色魔怪号
	迅若速子号
	妙手夺命号
	超热共鸣号
	永恒之隔号
	紫外雷霆号
	天命不屈号
	凤凰降临号
Faction Republic of the Free People FlagShipNames	#Array
	引力狂怒号
	十胜之石号
	空之界限号
	黑色骄阳号
	秋之新星号
	终焉回响号
	业火之轮号
	尘埃将落号

Faction United Sol Trade Alliance	太阳系联合贸易联盟
Faction United Sol Trade Alliance AbbreviatedName	USTA
Faction United Sol Trade Alliance ShipPrefix	USF
Faction United Sol Trade Alliance Description
	太阳系联合贸易联盟(United Sol Trade Alliance)，简称USTA，是一个在大灾变中形成的联合组织，它是由前地球的北欧亚社会主义共和国(North Eurasian Socialist Republic)、东亚国(East Asian Megastate)和几个企业国家组成，其中NESR是旧世界的超级霸权之一，这个在苏联崩溃百年之际出现的政权很快就与隔壁的EAM开始了第二次冷战。
	由两个昔日死敌组成的联盟确实很让人跌破眼镜，这两个一手导致大灾变的国家在结盟后开始扮演与之前相反的角色，这引来了很多猜疑和阴谋论。
	其中最有意思的理论是大灾变以及之后的地球疏散行动都是被预先策划好的，这是为了迫使人类离开母星这个监狱，让人类更加坚毅，成为一个星际种族。
	然而实际上更有可能的情况是两个国际中的极端民族主义者都早已经在大灾变和之前的战争中死光了，大多数剩下的活人在见证了自己一手带来的灾难的恐怖后早已经丧失了对抗下去的欲望，因此，与其在断壁残垣之中与对方用石头和棍子打个你死我活，还不如早早握手言和，一起携手翻开人类历史的新的一页。
	无论这个联盟是怎么形成的，日后越来越多渴望逃离地球的国家也加入了这个联盟，日益壮大的USTA体量已经远远超过最初形成时的两个国家，而最终它也是唯一一个保持着联盟政体的联合组织。
	USTA是第一个向太阳系外围进行疏散的阵营，当自由人民共和国在将他们的人口安置在月球、火星和小行星带时，USTA花了一年又一年的时间将他们的人口安置在了木星和土星的卫星群上，有时他们的难民甚至要在殖民船中待上数年之久，其他阵营很快就紧随他们的脚步，向冰和甲烷资源丰富的天王星和海王星展开了殖民。
	在过去的百年间，USTA一直保持侵略性的殖民和资源扩张政策，开采着每一颗他们占领的卫星和小行星，在太阳系中人类所能抵达的最远的地方，比如阋神星和妊神星建立殖民地，拜他们毫无意义的策略所赐，他们是柯依伯带绝对的控制者，因为其他阵营都没有蠢到要去探索这些遥远的天体，此外，他们向太阳系内部的扩张最远是在水星轨道上的几个空间站，在整个主小行星带也遍布着他们的殖民地和哨站。
	至今，他们是太阳系中最大的阵营，拥有第一的GDP和领土数量。
Faction United Sol Trade Alliance ShipNames	#Array
	无声惊叫号
	虚无缥缈号
	仇恨编织号
	悲伤之洋号
	灰烬之笼号
	腐朽圣堂号
	反造物主号
	梦想撕裂号
	死亡星空号
	炼狱黄昏号
	空虚希望号
	明日绝望号
	行星杀手号
	失落馈赠号
	火石之雨号
	惨剧散播号
	永恒复仇号
	星空抹除号
	泰拉安魂号
	太阳之坟号
	残破之阳号
	憔悴之阳号
	无序之熵号
	黑暗内在号
	进化吞噬号
	粉碎和平号
	故国残垣号
	星辰碑文号
	融化之泪号
	疮痍之河号
	电浆之雨号
	暴力交响号
	无尽月食号
	火山荣光号
	灵魂解离号
	核子之夏号
	法拉第笼号
	原子之痕号
	慰藉之筛号
	融合寄生号
	亡雨天使号
	战栗时空号
	分界散华号
	融化天空号
	日月遮蔽号
	终极热寂号
	破碎时空号
	心痛之魂号
	腐烂银河号
	枝垂星号
Faction United Sol Trade Alliance FlagShipNames	#Array
	末世引擎号
	神之机器号
	混沌驱动号
	天使遗骸号
	黯灭之梦号
	灭绝之神号
	星辰夭折号
	夭折之星号

Faction Iroquois Resurgence	易洛魁复兴会
Faction Iroquois Resurgence AbbreviatedName	IR
Faction Iroquois Resurgence ShipPrefix	ISF
Faction Iroquois Resurgence Description
	易洛魁复兴会(Iroquois Resurgence)的出现对全人类来说都是个意外，在大灾变过去80年左右，所有阵营都已经将太阳系瓜分完毕时，原本是作为USTA的一部分的易洛魁复兴会突然公开宣布了他们的存在，并立刻从USTA中独立了出去，在独立时，他们控制着数颗海王星的卫星以及几颗小行星。
	USTA几乎是同时发出了武力统一的威胁作为回应(至少是比信息传播的光速要慢一点)，然而在当时，没有人任真研发过太空军事装备，IR-USTA是第一次大规模的太空军事冲突，成为了未来的每一场太空战争的预演。USTA试图发挥他们丰富的在地球上的海陆空战争经验，但很快就发现旧的经验完全不适用于这场新型战争，特别是太空战争的后勤运作要比地面战争困难几个数量级，第一场战争最后结束于一艘又一艘的战舰在烧光了他们的工质罐后搁浅于太空中，变成了环绕太阳系天体的一个个铝棺材，真正实质发生的战斗少之又少。
	最后USTA放弃了战争，转而采用简单的贸易制裁作为报复，时至今日，易洛魁复兴会仍是一个规模很小但实力不弱的阵营，在太阳系中控制着数颗卫星和小行星。
Faction Iroquois Resurgence ShipNames	#Array
	雄狮号
	雄鹰号
	蟒蛇号
	野熊号
	狐狸号
	野狼号
	野牛号
	战犬号
Faction Iroquois Resurgence FlagShipNames	#Array
	太阳号
	月亮号
	水源号
	长歌号
	公正号
	尊严号

Faction The Liberty Exchange	自由贸易公会
Faction The Liberty Exchange AbbreviatedName	LE
Faction The Liberty Exchange ShipPrefix	LSF
Faction The Liberty Exchange Description
	自由贸易公会(Liberty Exchange)是一个由多个独立小行星和卫星组成的松散的邦联，其目的是相互帮助维持一个自由、中立的贸易联盟，这一点与太阳系联合贸易联盟不同，后者是一个依靠政治手段而非经济纽带来维持单一政权，而自由贸易公会则是一个地地道道的商人同盟。
	自由贸易公会由数百个或大或小的公司组成，最初作为一个公司间维持联系的松散组织，但到最近，它才将自己的身份定位为一个正式的政治联盟。
	作为一个坚定的资本主义联盟，以及对战争的厌恶，他们在大灾变之后的每一场冲突中都努力保持中立，然而，批评者很快就指出真相是在每一场冲突中，自由贸易公会都扮演着在幕后给冲突双方提供贷款和军火贸易的角色，对资本主义来说，这也并不让人意外。
	更敏锐的人甚至发觉到自由贸易公会从不“偏袒”战争中的某一方，他们会避免让任何一方因为自己的“帮助”而占据过大的优势，以至于让战争过早结束，毕竟战争打得越久，他们能捞到的油水就越多。有意思的是，自由贸易公会还是太空核武器的坚定反对者，并且坚决反对使用核武器攻击有人居住的星体，这倒不太可能是因为他们善良，而是因为担心使用核武器会让战争结束得更早。
	更有意思的是，他们是第一个公开反对人类建立单一币种的阵营，他们唯一承认和使用的货币是各种加密币，旧地球时代的比特币遗留下来的衍生品，曾被大量用于非法交易中，依仗着他们绝对的经济优势，他们在早期所做的努力终于让加密币将政府支持的币种驱逐出了太阳系市场。
	就像他们强烈地反对中央化一样，自由贸易公会还在公司间设立了大量的制衡措施，大多数成员公司会监视市场并联合制裁那些一家独大的企业，以防止他们膨胀得过于强大，因此尽管缺乏中央政府的监管，迄今为止仍未有一家公司能垄断太阳系中的任何一个市场，这是一个不稳定的制衡，权力被谨慎地在一小撮企业间分享，但至少在这几十年中这个制度还未曾出过差错。
	自由贸易公会努力抓住每一个商业机会，尽管他们主要的精力是投在建设供人居住的城市和太空城。颇有争议的是，由于他们对一切潜在商机的狂热执着，或者至少说他们拒绝任何一种赚钱的机会，现今他们是太阳系中的奴隶交易和黄色产业最大的经营者。
	'交易只是手段，赚钱才是目的'是他们的座右铭，恰好说明了他们所谓的资本主义的天性。
	他们的据点零散地分布在太阳系各地，主要都是在小卫星或小行星上，此外他们在很多较大的卫星和行星上也和其他阵营联合控制着许多小的“中立区”，作为一个公司联盟，他们没有中央化的总部，不过他们最大的领土是木卫三上的孟菲斯光斑市，那里是木星经济圈的贸易中心。
Faction The Liberty Exchange ShipNames	#Array
	低语之阳号
	银河幽灵号
	日之记忆号
	寰宇之印号
	魅力东方号
	光子之网号
	脉冲震荡号
	中子之雨号
	虚空涟漪号
	伊士曼号
Faction The Liberty Exchange FlagShipNames	#Array
	兰特号
	德摩斯梯尼号
	洛克号

Faction Rogue Faction	叛军
Faction Rogue Faction AbbreviatedName	叛军
Faction Rogue Faction ShipPrefix	RS
Faction Rogue Faction Description
	尽管忠诚是我们训练军官时最着重培养的品格，在极罕见的情况下仍有自由人民共和国高层军官叛逃的事件发生，这种事情通常都是极端情况下的个例，涉及到了许多特殊因素，比如突发性的心理疾病，乃至敌对阵营的贿赂或威胁。太阳系联合贸易联盟就长期致力于腐化、煽动他国军官。
Faction Rogue Faction ShipNames	#Array
	三一碎片号
	日珥冻结号
	熵之残影号
	笼罩群星号
	时空之闸号
	魔女玛塔号
	阿鲁沙号
	日之晕轮号
Faction Rogue Faction FlagShipNames	#Array

Faction Republic Executive Branch	Republic Executive Branch
Faction Republic Executive Branch AbbreviatedName	REB
Faction Republic Executive Branch ShipPrefix	RES

Faction Nippon Prime	新日本国
Faction Nippon Prime AbbreviatedName	NP
Faction Nippon Prime ShipPrefix	NSF
Faction Nippon Prime Description
	可以说是目前唯一一个由单一的旧地球国家演变而来的阵营，新日本国(Nippon Prime)是一个从旧地球的日本演变而来的太空国家，也是唯一一个历史能追溯到大灾变之前的阵营，在大灾变之前的日本，由于同朝鲜半岛统一保护国(Unified Korean Peninsular Protectorate)之间日益增加的压力，一个叫新日本党的右翼政党踏上了政治舞台，意图恢复国家的军国主义传统，这个政党的幕后支持者是国家庞大的军工复合体、机器人工业、仿生植入物工业以及最重要的太空工业。
	当大灾变爆发时，新日本党早已涉足太空，从土星和天王星的卫星群到数颗小行星，太阳系多处都被新日本党以科研名义建立了小型殖民地。而当包括总理大臣在内的日本领导层核心人物们撤离地球时，他们搭乘的飞往日本天钩的火箭在发射后爆炸解体了，这一意外成了在新日本党把持下的日本航天事业中，原本近乎完美无瑕的发射记录里唯一的一次致命事故。
	日本政府核心人物们的意外身亡大大增强了新日本党的政治控制力，在灾难后的重新选举中，新日本党赢得了选举，并安置了一位激进的首相上台。随着日复一日对人类灭绝灾难的恐吓式宣传、对振兴国家救国存亡的许诺，新日本党顺利解散了民选政府，并建立了一个君主制政权，新日本党正式成为新日本国，以强硬的态度踏入了太阳系政治舞台。
	新日本国大部分领土位于土星和天王星的卫星群，此外，作为USTA的主要贸易伙伴，他们还和USTA保持着紧密的关系，他们在小行星带以内也拥有少数几处领土，但其存在感远远弱于其他在着重经营那里的阵营，在USTA和IR的第一次太空战争过去的多年间，新日本国进行了多次针对比它弱小的阵营的军事行动，通过威胁乃至武装入侵的手段吞并了一个又一个弱小的阵营。
	新日本国由不朽女皇木下麻美领导，此人的记录可以追溯到200年前，早在旧地球时代，她便是新日本党的领袖。她能活如此之久的原因尚未被外界所知，有人猜测新日本党/国开发了远超市面上同类的续命手段；还有一种说法是现在的女皇只不过是当初的木下的一个克隆，当旧的女皇变老或意外死亡时，新的克隆体就会被放出来接任；还有一种说法是现在的女皇其实是一个以假乱真的机器人，真的女皇早已经死去很久了。
Faction Nippon Prime ShipNames	#Array
	天城号
	长门号
	加贺号
	扶桑号
	金刚号
	雾岛号
	鸟海号
	夕张号
	香取号
	隼鹰号
	三日月号
	夕云号
	睦月号
	若叶号
	夕暮号
	響号
	奈良号
	冷杉号
	早苗号
	雷声号
	雪风号
	满潮号
	亲潮号
	涟号号
	高波号
	利根号
	筑摩号
	铃谷号
	野岛号
	凤翔号
	龙骧号
	飞龙号
	翔鹤号
	大凤号
	瑞凤号
	千岁号
	千代叶号
	敷波号
	刈萱号
	秋雨号
	高潮号
	山月号
	雪云号
	南风号
	早春号
	松号
	梨号
	若草号
	隼号
	千鸟号
	雉号
	安宅号
	须磨号
	占守号
	擇捉号
Faction Nippon Prime FlagShipNames	#Array
	冲绳号
	赤城号
	大和号
	樱花号
	葛城号





Concept Delta-v	Delta-v
Concept Delta-v Subject	Orbital Mechanics
Concept Delta-v Description
	Delta-v, or change in velocity, measured in meters per second (m/s), usually in kilometers per second (km/s), is a measure of impulse needed to execute orbital maneuvers. Delta-v is not a rate of change, it is a measure of how much a ship's velocity can change. Every time a ship executes a thruster burn, such as during a mission, an amount of delta-v is spent. Each ship has a delta-v budget, which is the total velocity that that ship can alter its current velocity.
	Although delta-v is a measure of propellant left, it is the same for all ships. However, how much propellant each amount of delta-v is equivalent to varies by ship. For example, for a small ship, 1 kiloton of propellant might equal 3 km/s of delta-v, while for a larger ship, 1 kiloton of propellant might be only 1 km/s of delta-v.

Concept Basic Orbital Mechanics	Basic Orbital Mechanics
Concept Basic Orbital Mechanics Subject	Orbital Mechanics
Concept Basic Orbital Mechanics Description
	The higher an orbit (i.e. the further away from the orbited body an object is), the slower an object moves. Thus, to speed up, lower your orbit. To slow down, raise your orbit. This necessarily means that objects in lower orbits will move much faster than objects in higher orbits, and as a result, will have more maneuvering options. At the same time, the lower and faster your orbit, the more delta-v it costs to change anything about that orbit. Orbital height is a tradeoff between maneuverability/speed and delta-v cost.
	The most efficient way to raise or lower an orbit is through a burn tangential to the orbited object and in line with the current velocity. This is usually done with the red thrust manipulator.

Concept Orbital Inclination	Orbital Inclination
Concept Orbital Inclination Subject	Orbital Mechanics
Concept Orbital Inclination Description
	An inclined orbit is one that is not coplanar with another orbit. Switching between two orbits that are not in the same 2D plane is extremely costly in terms of delta-v.
	The most efficient way to switch between them is to burn at one of two points where your current orbit intersects the plane of the target orbit. The easiest way to find these two points where the planes intersect is to look at one of the orbits side-on, so that they both appear to be intersecting flat lines. The flat lines will intersect each other at exactly two points, and these two points are where inclination burns are most efficiently made. Note that this will not be the fastest way to reach a target, only the most delta-v efficient way.
	If you wait until your trajectory is at one of these two points, you can use the out-of-plane (blue) thruster manipulator at that exact point. If executed successfully, one can transfer planes and no longer need to use the out-of-plane thrust manipulator.
	On a different note, using an out-of-plane target as a frame of reference can be very difficult, and so there is an visual option to project the current trajectory on to the frame of reference's plane (upper left corner). This means that the trajectory will be drawn a second time in dark blue as if it were in plane with the target. This allows the dark blue trajectory to be plotted first, and then later, the actual trajectory can be matched using out-of-plane burns.

Concept Retrograde and Prograde Orbits	Retrograde and Prograde Orbits
Concept Retrograde and Prograde Orbits Subject	Orbital Mechanics
Concept Retrograde and Prograde Orbits Description
	A prograde orbit is an orbit which matches the rotation of the body it orbits, while a retrograde orbit runs in the opposite direction. Most orbits in the solar system are prograde, matching the rotation axis of their orbited body.
	Switching from a prograde to retrograde orbit, or vice versa, tends to be very expensive in terms of delta-v. To make such a switch, simply use the tangential red thrust manipulator and pull the orbit into the reverse direction of travel until a backwards ellipse or circle is formed.
	Perfectly planning a retrograde combat intercept is akin to hitting one bullet with a second bullet in the opposite direction. One tiny nudge of the target ship can cause your ships to miss the intercept by kilometers or worse due to the enormous speeds. Additionally, combat will often go by so quickly that one won't have time to actually react to anything that happens in such a case.

Concept Lagrange Point	Lagrange Point
Concept Lagrange Point Subject	Orbital Mechanics
Concept Lagrange Point Description
	Every body that orbits another larger body has up to five lagrange points. These are points of gravitational stability between the two celestial bodies where a spaceship or anything really can rest.
	The first two points, L_1 and L_2 are located very close to the smaller body, while L_3 is located on the opposite side of the larger body. However, L_1, L_2, and L_3 are all unstable, which means they require constant stationkeeping to stay in them.
	L_4 is located in an equilateral triangle planar with the orbital plane, with the smaller body and the larger body forming two corners of the triangle, and L_4 forming the third corner. L_5 forms another equilateral triangle in the opposite direction (but still coplanar). Both L_4 and L_5 are stable, so ships can keep an orbit around them without spending fuel to stationkeep. L_4 and L_5 are zones rather than single points because they are stable, which means the entire general area can support ships and stations.
	When a ship orbits the L_4 and L_5 points, their orbits can take on any number of interesting shapes, from figure eight orbits to tadpole orbits to horseshoe orbits, relative to the smaller body. Note that these shapes do not move relative to the smaller body; all Lagrange Points are static relative to the smaller body, and orbit the larger body like any celestial body would.
	To reach any of the Lagrange Points from the smaller body, aside from L_1 and L_2, one needs to escape the gravity well of the smaller body, and enter an orbit around the larger body. For instance, to reach the Earth-Luna L_5 point while orbiting Luna, one would have to exit Luna's orbit and fall into Earth's orbit to reach that zone.

Concept Orbital Escape	Orbital Escape
Concept Orbital Escape Subject	Orbital Mechanics
Concept Orbital Escape Description
	Escaping the gravity well of a celestial body simply involves applying enough delta-v to achieve a hyperbolic trajectory about that body. Escaping that body's gravity well will leave your spacecraft in orbit of the parent body's gravity well.
	When making an escape from a circular orbit, for instance, it is intuitive that the wider the circular orbit is, the easier it is to escape, because wider orbits are slower than tighter orbits, thus, less delta-v is needed to break free. However, what may not be immediately obvious is that not every point on that circular orbit is equal in terms of delta-v needed to escape.
	A circular orbit is moving in a perpetually changing direction at a constant speed. If you wish to exit that circular orbit in a certain direction, the best place to exit would be at the point where the circular orbit's tangential velocity is already in the direction you wish to go in. In that case, you already have the orbit's high speed pay for some of the delta-v cost. In the worst case, when you are going the opposite direction as your orbit, you will have to essentially pay the delta-v needed for a retrograde orbit, and then the exit delta-v cost.
	Thus, waiting until you are at the right place in your orbit can save you delta-v when making an orbital escape. The downside is that you have to wait until you're at the right point on your orbit, which can be a problem when you have a tight time limit.
	A final note about exiting a body's gravity well: much as tangential burns are the most delta-v efficient way of changing orbital height, tangential burns are also the most delta-v efficient way of achieving escape velocity. Once again, this is not necessarily intuitive, as one might think burning directly away from the body would be most efficient.

Concept Orbital Elements	Orbital Elements
Concept Orbital Elements Subject	Orbital Mechanics
Concept Orbital Elements Description
	Every orbit around a celestial body can be described as a circle or an ellipse around that body. If it is circular, the orbited body is at the very center of that circle, but if the orbit is elliptical, the orbited body is at one of the foci of the ellipse, meaning that the ellipse is unsymmetric in terms of distance to the orbited body. This is why there is an apoapsis and a periapsis for elliptical orbits. See apsis for more information.
	Every orbit can be described using six orbital elements: Eccentricity, Semimajor Axis, Inclination, Longitude of the Ascending Node, Argument of the Periapsis, Mean Anomaly at Epoch.
	The Eccentricity of an orbit describes how elliptical it is, with zero being circular, and flattening into an ellipse as it approaches one. An orbit with an eccentricity greater than one is hyperbolic, meaning it does not orbit the body at all, and is instead executing a flyby.
	The Semimajor Axis of a body indicates the average major distance to the body's center, which for a circular orbit is simply the radius of the circle.
	The Inclination of an orbit is how inclined it is to a relative plane. If it is zero, the orbit can be thought of entirely in a two-dimensional fashion, relative to the plane it is in.
	The Longitude of the Ascending Node indicates exactly in what direction an inclined orbit is oriented. For instance, two orbits may have an inclination of 45°, but they will not be coplanar if their Longitude of the Ascending Node elements are different, as the 45 degree inclinations will be facing different directions. Obviously, this is irrelevant if the inclination is zero.
	The Argument of Periapsis indicates where the periapsis is along the orbit; in essence, how the orbit is rotated after the inclination is applied. This is irrelevant if the orbit is circular, since there will be no apsis.
	Mean Anomaly at Epoch is the final element, and it simply indicates where along the orbit the orbiting body is, relative to some point in time (the Epoch).

Concept Hyperbolic Trajectories	Hyperbolic Trajectories
Concept Hyperbolic Trajectories Subject	Orbital Mechanics
Concept Hyperbolic Trajectories Description
	Whenever a circular orbit is accelerated in, it becomes elliptical, and the faster one accelerates an orbit, the more elliptical it becomes. At a certain point, the eccentricity of that orbit exceeds one, meaning the orbital is no longer elliptical, and it is instead hyperbolic. An orbit which has an eccentricity of exactly one is parabolic, which is exactly in between elliptical and hyperbolic, but it's a rare case and not very relevant.
	Hyperbolic orbits are not truly orbits, because they don't periodically circle the target body, they simply approach the target body and then fly off in an escape trajectory. The amount of velocity required to achieve a hyperbolic trajectory from an orbit is called the escape velocity, because upon acheiving a hyperbolic trajectory, one escapes the orbited body's gravity well.
	A hyperbolic trajectory to a celestial body is simply an elliptical orbit to the parent body. For example, a hyperbolic trajectory about Luna would be an elliptical orbit around Earth, and a hyperbolic trajectory about Earth would be an elliptical orbit around Sol, and a hyperbolic trajectory about Sol is actually an elliptical orbit around the Milky Way Galactic Core.
	Missiles are often fired in hyperbolic trajectories at enemies, because the trajectory is faster, and there is no need to ever swing around a second time. If the missiles miss, they are not reused. They do not appear as orbits around the nearest body, instead appearing as straight lines because that truly is their path relative to that body. To achieve a hyperbolic trajectory, nothing special needs to be done; simply apply copious amounts of delta-v.

Concept Apsis	Apsis
Concept Apsis Subject	Orbital Mechanics
Concept Apsis Description
	Any elliptical orbit has two apsis: the apoapsis, which is the point on the orbit furthest from the orbited body; and the periapsis, which is the nearest point on the orbit to the body.
	Circular orbits have no such apsis, because all points on the orbit are equidistant from the orbited body.
	Assuming an elliptical orbit with apsis, the velocity at the periapsis is the highest, and the velocity at the apoapsis is the lowest, as the orbital speed is directly related to the distance to the orbited body. The significant velocity difference between the two apsis is often unexpected, and not necessarily intuitive, since in highly elliptical orbits, the orbiter will zoom through the periapsis, and then spend a very long time at the apoapsis.
	A good mnemonic to learn apsis to think "apo" is similar "apart", so the apoapsis is the further apart point of the ellipse, while the periapsis is the closest point of the ellipse.

Concept Hill Sphere	Hill Sphere
Concept Hill Sphere Subject	Orbital Mechanics
