UnicodeRanges
	0020	024F
	2000	206F





GameTitle	Children of a Dead Earth
	Don't worry about what the naysayers are parroting. We will both go down in the history books as the ones who united the solar system under one banner. Between my benevolence and your ruthlessness, we'll usher in a new century of peace and prosperity.
	You're a hero, the savoir of our people, conquerer of the solar system, and best of all, you saved my presidency. My dear girl, I can't thank you enough. I'm so proud of you, and I love you.
	Best,
	Madam President





Faction Republic of the Free People	Republic of the Free People
Faction Republic of the Free People AbbreviatedName	RFP
Faction Republic of the Free People ShipPrefix	RSF
Faction Republic of the Free People Description
	The Republic of the Free People was formed after the evacuation of Earth after the Cataclysm. Although many of the former sovereign nations of Earth attempted to coherently reform off world, all of them dissolved in the chaos of the aftermath. The Republic was created by an amalgamation of various sovereign states, initially starting as a temporary coalition between said states, much like every other off world coalition. The Republic itself was formed primarily by the states of Indonesia, India, The Phillipines, and Pakistan.
	During the beginning of the Republic's formation, ideological differences between the constituent states threatened to destroy it. Such an alliance could only be held together by the Cataclysm, by the threat of extinction of the entire human race. As millions of people were evacuated from Earth during the Cataclysm, the differences eventually melted away, and the decades after would see these differences fade entirely.
	The primary population of the Republic was fed by the extremely low cost of the Indian and Pakistani skyhooks launching people into LEO (Low Earth Orbit) inside of what amounted to human sized sardine cans. Ultimately, this method of ferrying people off world was cheaper than any other technique by nearly one order of magnitude, and huge amounts of citizens all over the world flocked to Indonesia to get a chance to escape Earth.
	As the years went by, and the chaos of evacuating an entire species off of a planet subsided, the coalitions discovered that they were far more coherent as governing bodies than their constituent nation states, and that they often consisted more of people from differing nation states than of people from the original nations. As a result, the coalitions remained in place, and have, more or less, over the years, as humanity has spread from LEO and Luna to the rest of the solar system.
	The Republic itself is headquartered on Mars, and has hundreds of settlements across the asteroid belt. Other major claims include Luna, and a number of moons of Uranus. Additionally, they are the faction closest to old Earth, being the defacto "owner" of LEO. Unlike most of the other factions, the Republic has very little influence in the outer planets, where most of the other factions have settled, constantly fighting over the resource-rich moons of the four gas giants.
Faction Republic of the Free People ShipNames	#Array
	Terraborn
	Frozen Fission
	Scorched Polaris
	Earthset
	Fusion Flower
	Singularity Petal
	Aleph Wavelet
	Gamma Rarefaction
	Forever Pulse
	Stairway to Infinity
	Dipole Hourglass
	Evanescent Frequency
	Deuterium Snowflake
	De Broglie Rainbow
	Mach Wave
	Naked Singularity
	Halcyon Memory
	Fissile Wave
	Solarsong
	Magnetic Winter
	Solar Tempest
	Heliosheath
	The Unshock
	506 Kelvin
	Plasma Wake
	Planetshine
	Magnetic Star
	Electric Frost
	Townsend Avalanche
	Maxwell's Demon
	Sonic Diffractor
	Laputan Machine
	Shock Diamond
	Hedera Queen
	Fortress Echo
	Jenny Haniver
	Boson Golem
	Timelike Tacheyon
	The Never Event
	Epithermal Resonance
	Eternal Equinox
	Ultraviolet Thunder
	Ne Cede Malis
	Impending Phoenix
Faction Republic of the Free People FlagShipNames	#Array
	Gravity's Rage
	Young Obsidian
	Null Horizon
	Black Sun
	Autumn Supernova
	Termination Shock
	Hellfire Impeller
	Aye Mak Sicur

Faction United Sol Trade Alliance	United Sol Trade Alliance
Faction United Sol Trade Alliance AbbreviatedName	USTA
Faction United Sol Trade Alliance ShipPrefix	USF
Faction United Sol Trade Alliance Description
	The USTA, or United Sol Trade Alliance, is a coalition that formed during the Cataclysm. It was originally formed between the old Earth conglomerate states, the North Eurasian Socialist Republic (NESR), and the East Asian Megastate (EAM). The NESR was one of the largest superpowers in the world, having risen to power from the ashes of the USSR nearly a hundred years before it, ready to start a second Cold War with the EAM.
	For such an alliance to arise between these factions was quite surprising, given their opposing roles in bringing about the Cataclysm, leading to rampant speculation and conspiracy theories.
	The most fanciful of such theories being that the Cataclysm and the subsequent evacuation of Earth was entirely planned, as a way to force the human race out of their paradise prison, to force humanity to become stronger, more resilient, and now capable of resisting astronomical extinction.
	Another more likely possibility includes the fact that the extremely nationalistic memebers of all these factions likely died out following the Cataclysm. Most of what remained perhaps saw the terrible folly of this disaster and vowed to never let it happen again. And thus, bitter enemies bent on annihilating each other were now close allies, ready to turn a new page in human history.
	Regardless of how such an alliance could form, those nations were soon joined by many more nations eager to evacuate, and the burgeoning USTA soon become much more than its original founding nations, and soon the only identity that remained was the alliance.
	The USTA was the first faction to evacuate straight to the outer solar system. While the Republic of Free People was dumping their people on Luna, Mars, and the asteroid belt, the USTA was taking years and years to dump their people on the moons of Jupiter and Saturn, sometimes keeping refugees stuck inside their colony ships for years. Other factions soon followed their lead, rushing for the resource rich fields of ice and methane of Uranus and Neptune.
	Over the course of hundreds of years, the USTA has held an aggressive colonization and resource exploitation policy, strip mining all the asteroids and moons it can, and then dumping colonists to the furthest reaches of the solar system, as far out as Eris and Haumea. Despite their utter worthless strategic nature, the Kuiper Belt belongs completely to the USTA, as no other faction has been foolish enough to exploit such bodies. In addition, their reach extends as far inward as several orbital stations around Mercury, and enjoys an omnipresence across the entire asteroid belt.
	To this day, they remain the largest faction in the Solar System by GDP, and celestial claims.
Faction United Sol Trade Alliance ShipNames	#Array
	Screaming Silence
	The Nothing
	Hateweaver
	Ocean of Sorrow
	Cage of Ashes
	Temple of Decay
	The Unmaker
	Dream Shatterer
	Dead Sky
	Dusk Inferno
	Hope Void
	Tomorrow's Despair
	Planet Butcher
	The Gift of Loss
	Volcanic Rain
	Misery Spinneret
	Vengeance Eternal
	Cosmic Eraser
	Terra Requiem
	Solar Tomb
	Shattered Sun
	Wasted Sun
	Entropy
	The Inner Darkness
	Progress Devourerer
	Peaceeater
	Wasteland of a Type I
	Cosmic Epitaph
	Molten Tears
	Desolation River
	Plasma Rain
	Symphony of Violence
	Infinity Eclipse
	Volcanic Glory
	Soul Unraveler
	Nuclear Summer
	Faraday Prison
	Atomic Scar
	Solace Sieve
	Fusion Parasite
	Dead Seraphim Rain
	Shiver
	Scattered Equinox
	Molten Sky
	Nadir
	Heat Death
	Splintered Spacetime
	Bleeding Soul
	Carrion Galaxy
	Weeping Star
Faction United Sol Trade Alliance FlagShipNames	#Array
	The Apocalypse Engine
	The God Machine
	The Chaos Device
	Angel Wreckage
	The Extinction Dream
	The Genocide God
	Cosmic Abortion
	Stillborn Star

Faction Iroquois Resurgence	Iroquois Resurgence
Faction Iroquois Resurgence AbbreviatedName	IR
Faction Iroquois Resurgence ShipPrefix	ISF
Faction Iroquois Resurgence Description
	The appearance of the Iroquois Resurgence faction was a surprise to all of the human race. Roughly eighty years after the Cataclysm, after most of the factions had settled down across the solar system, the Iroquois Resurgence suddenly announced their existence, a recent offshoot of the USTA, declaring independence from their parent faction. At the point of secession, they had control of several moons of Neptune, and a few asteroids in the belt.
	The USTA responded with threats of destruction immediately (as soon as light could carry their message, at least), but at the time, no one had invested in a space miltiary hardware. The IR-USTA war was the first all war set entirely in space, and it set the stage for all future space warfare. The USTA, using their combined experience of hundreds of years of naval, air, and ground battles, rapidly discovered that nearly everything they were used to was completely obsolete. Specifically, the logistics of maintaining a space war were several orders of magnitude more difficult to manage than ground wars. The first war was punctuated by warships getting their propellant tanks punctured, their ships stranded, out of delta-v, aluminum tombs in orbit across the solar system, and the very rare combat engagement.
	In the end, the USTA gave up their war, and instead have devoted the following years to simple trade sanctions as retaliation. To this day, the Iroquois Resurgence remains a small but significant faction, owning various small moons and asteroids across the entire solar system.
Faction Iroquois Resurgence ShipNames	#Array
	Dagosgó:nah
	Sgaji'é:na'
	Osháisda'
	Ohgwá:ih
	Sgęhná'ksęh
	Thahyų:nih
	Dege:yá'gi'
	Jí:hah
Faction Iroquois Resurgence FlagShipNames	#Array
	Gáähgwa:'
	Ęhní'da'
	Ohnéganos
	Hodę:no:da'
	Tsa’degaya’ dagwe:dí:yo’
	Ganá:ye:da

Faction The Liberty Exchange	The Liberty Exchange
Faction The Liberty Exchange AbbreviatedName	LE
Faction The Liberty Exchange ShipPrefix	LSF
Faction The Liberty Exchange Description
	The Liberty Exchange is a loose confederation of independent moons and asteroids dedicated towards maintaining a free and neutral trade alliance. Unlike the United Sol Trade Alliance (USTA), which is an entity formed out of political ties rather than economic ties, the Liberty Exchange are actually a trade alliance.
	It is composed of hundreds of major and minor corporations. The Liberty Exchange have been around for a long time as a loose collective of scattered firms, but have only recently considered themselves an official coalition.
	With an almost fanatical devotion to capitalism, and a profound indifference to military warfare, they have managed to stay neutral in every conflict since the Cataclysm. However, critics are quick to point out that they have had a crucial role in funding and supplying arms to any and all sides of every conflict indiscriminately. For the sake of capitalism, of course.
	Others have also observed that they try to avoid helping out one side too heavily in a bid to prolong conflicts. Conflicts which end too rapidly are not as profitable to them. They also have a pointed dislike of nuclear weapons, and have always voiced opposition against treaties that allow them to be used on terrestial bodies, likely because they end conflicts too quickly.
	Interestingly enough, they were the first faction to outright reject a centralized currency, opting to only recognize cryptocurrencies: only offshoots of old Earth's Bitcoins would be accepted as legal tender. Using their tremendous economic leverage, their early adoption of all of these cryptocurrencies forced out government-backed currencies from the solar markets.
	In keeping with their strong dislike of centralization, the Liberty Exchange has set up a sort of checks-and-balances between corporations, where the majority of member corporations will gradually weaken any other member corporation which grows too powerful. In this way, no single corporation has been able to achieve a monopoly on any market in the solar system, despite the lack of any central government oversight. It's an unstable equilibrium, where power is carefully shared between a smattering of corporations, but it has been in place for decades without failure.
	The Liberty Exchange tend to traffic in all possible commerce, though their primary focus is on construction of terrestial cities and space stations. Arguably, their eagerness to delve in all manner of commerce, or at least refuse to restrict any types of commerce, has led them to being the primary trafficker of slavery and prostitution in the solar system.
	'Here for the cash, not the cargo' is their motto, reflecting their so called capitalistic neutrality.
	Their presence is scattered across the entire solar system, occupying mostly small moons and asteroids, as well as jointly controlling many smaller 'neutral zones' on many of the larger moons and planets. They have no central headquarters, being a confederation of corporations, although their largest claim is the center of commerce of the Jovian system, Memphis Facula City, on Ganymede.
Faction The Liberty Exchange ShipNames	#Array
	Whispering Sun
	Galatic Ghost
	Solar Memory
	Cosmic Fingerprint
	Magnetic East
	Photon Web
	Impulse Shock
	Neutronic Rain
	Void Ripple
	Ishiman
Faction The Liberty Exchange FlagShipNames	#Array
	Rand
	Demosthenes
	Locke

Faction Rogue Faction	Rogue Faction
Faction Rogue Faction AbbreviatedName	Rogue
Faction Rogue Faction ShipPrefix	RS
Faction Rogue Faction Description
	It is extremely rare for high ranking military members of the Republic of Free People to turn traitor, as loyality is the most significant factor in grooming for officers. Cases of actual treason tend to be isolated incidents of extreme circumstances, and often require a multitude of factors, including sudden mental illness, and bribery or extortion by an opposing faction. The United Sol Trade Alliance is one such factions with a long history of attempting to corrupt or coerce military officers from other factions.
Faction Rogue Faction ShipNames	#Array
	Trinity Fragment
	Icy Prominence
	Entropic Penumbra
	Stellar Shroud
	Spacetime Sluice
	Matahari
	Arusha
	Słońce Halo
Faction Rogue Faction FlagShipNames	#Array

Faction Republic Executive Branch	Republic Executive Branch
Faction Republic Executive Branch AbbreviatedName	REB
Faction Republic Executive Branch ShipPrefix	RES

Faction Nippon Prime	Nippon Prime
Faction Nippon Prime AbbreviatedName	NP
Faction Nippon Prime ShipPrefix	NSF
Faction Nippon Prime Description
	Arguably the only faction to retain a single, national identity from Earth, Nippon Prime is the spacefaring evolution of the nation of Japan from Earth, and is the only faction to traces its formation to pre-Cataclysm history. Nippon Prime originally started as a right wing political party of pre-Cataclysm Japan, regularly calling for the militarization of the country, due to rising tensions with the UKPP (Unified Korean Peninsular Protectorate). The political party had substantial backing from the country's military industrial complex, it's robotics and cybernetics industries, and most of all, it's space industry.
	When the Cataclysm happened, Nippon Prime was already well established in the solar system, with small research colonies dotting the solar system, from the moons of Uranus to the moons of Saturn, to several asteroids. And when key members Japanese leadership, including the prime minister, evacuated Earth, their rocket trying to catch the Japanese skyhook disintegrated after launch in one of the only accidental failures of Nippon Prime's nearly spotless record of perfect launches.
	The loss of key elements of the Japanese government vastly increased the political control Nippon Prime had. In the first democratic election after that disaster, Nippon Prime gained control of a majority in the legislature, and installed their own radical prime minister. Over time, playing on fears of human extinction, promising strength and survival, Nippon Prime dissolved the democratic government and implemented a monarchy. They have maintained a strong presence across the solar system ever since.
	Nippon Prime has major claims in the Uranus system and the Saturn system, and holds close ties to the USTA, being the primary trading partner to the USTA. They hold a few claims in the inner solar system, but that presence is rather minor compared to other factions there. As the years have passed since the first space war between the USTA and the IR, Nippon Prime has engaged in numerous successful military campaigns across the solar system, slowly subsuming smaller factions either through threat of destruction or through destruction itself.
	They are led by the Eternal Empress Kinoshita Asami, who has apparently led Nippon Prime since it's days back on Earth, over 200 years ago. It is unclear whether Nippon Prime has developed a method of life extension that is vastly more effective than anything in existence on the market, or if Kinoshita has simply been cloned numerous times and a new Empress is unfrozen and grown to replace the old one every time the last one gets old or dies, or if the Empress is simply an extremely convincing android doppleganger created to replace the real Empress who would have died a long time ago.
Faction Nippon Prime ShipNames	#Array
	Amagi
	Nagato
	Kaga
	Fuso
	Kongo
	Kirishima
	Chokai
	Yubari
	Katori
	Jun'yo
	Mikazuki
	Yūgumo
	Mutsuki
	Wakaba
	Yūgure
	Hibiki
	Nara
	Momi
	Sanae
	Ikazuchi
	Yukikaze
	Michishio
	Oyashio
	Sazanami
	Takanami
	Tone
	Chikuma
	Suzuya
	Nojima
	Hosho
	Ryujo
	Hiryu
	Shokaku
	Taiho
	Zuiho
	Chitose
	Chiyoha
	Shikinami
	Karukaya
	Akisame
	Takashio
	Yamazuki
	Yukigumo
	Hae
	Hayaharu
	Matsu
	Nashi
	Wakakusa
	Hayabusa
	Chidori
	Kiji
	Ataka
	Suma
	Shimushu
	Etorofu
Faction Nippon Prime FlagShipNames	#Array
	Okinawa
	Akagi
	Yamato
	Sakura
	Katsuragi





Concept Delta-v	Delta-v
Concept Delta-v Subject	Orbital Mechanics
Concept Delta-v Description
	Delta-v, or change in velocity, measured in meters per second (m/s), usually in kilometers per second (km/s), is a measure of impulse needed to execute orbital maneuvers. Delta-v is not a rate of change, it is a measure of how much a ship's velocity can change. Every time a ship executes a thruster burn, such as during a mission, an amount of delta-v is spent. Each ship has a delta-v budget, which is the total velocity that that ship can alter its current velocity.
	Although delta-v is a measure of propellant left, it is the same for all ships. However, how much propellant each amount of delta-v is equivalent to varies by ship. For example, for a small ship, 1 kiloton of propellant might equal 3 km/s of delta-v, while for a larger ship, 1 kiloton of propellant might be only 1 km/s of delta-v.

Concept Basic Orbital Mechanics	Basic Orbital Mechanics
Concept Basic Orbital Mechanics Subject	Orbital Mechanics
Concept Basic Orbital Mechanics Description
	The higher an orbit (i.e. the further away from the orbited body an object is), the slower an object moves. Thus, to speed up, lower your orbit. To slow down, raise your orbit. This necessarily means that objects in lower orbits will move much faster than objects in higher orbits, and as a result, will have more maneuvering options. At the same time, the lower and faster your orbit, the more delta-v it costs to change anything about that orbit. Orbital height is a tradeoff between maneuverability/speed and delta-v cost.
	The most efficient way to raise or lower an orbit is through a burn tangential to the orbited object and in line with the current velocity. This is usually done with the red thrust manipulator.

Concept Orbital Inclination	Orbital Inclination
Concept Orbital Inclination Subject	Orbital Mechanics
Concept Orbital Inclination Description
	An inclined orbit is one that is not coplanar with another orbit. Switching between two orbits that are not in the same 2D plane is extremely costly in terms of delta-v.
	The most efficient way to switch between them is to burn at one of two points where your current orbit intersects the plane of the target orbit. The easiest way to find these two points where the planes intersect is to look at one of the orbits side-on, so that they both appear to be intersecting flat lines. The flat lines will intersect each other at exactly two points, and these two points are where inclination burns are most efficiently made. Note that this will not be the fastest way to reach a target, only the most delta-v efficient way.
	If you wait until your trajectory is at one of these two points, you can use the out-of-plane (blue) thruster manipulator at that exact point. If executed successfully, one can transfer planes and no longer need to use the out-of-plane thrust manipulator.
	On a different note, using an out-of-plane target as a frame of reference can be very difficult, and so there is an visual option to project the current trajectory on to the frame of reference's plane (upper left corner). This means that the trajectory will be drawn a second time in dark blue as if it were in plane with the target. This allows the dark blue trajectory to be plotted first, and then later, the actual trajectory can be matched using out-of-plane burns.

Concept Retrograde and Prograde Orbits	Retrograde and Prograde Orbits
Concept Retrograde and Prograde Orbits Subject	Orbital Mechanics
Concept Retrograde and Prograde Orbits Description
	A prograde orbit is an orbit which matches the rotation of the body it orbits, while a retrograde orbit runs in the opposite direction. Most orbits in the solar system are prograde, matching the rotation axis of their orbited body.
	Switching from a prograde to retrograde orbit, or vice versa, tends to be very expensive in terms of delta-v. To make such a switch, simply use the tangential red thrust manipulator and pull the orbit into the reverse direction of travel until a backwards ellipse or circle is formed.
	Perfectly planning a retrograde combat intercept is akin to hitting one bullet with a second bullet in the opposite direction. One tiny nudge of the target ship can cause your ships to miss the intercept by kilometers or worse due to the enormous speeds. Additionally, combat will often go by so quickly that one won't have time to actually react to anything that happens in such a case.

Concept Lagrange Point	Lagrange Point
Concept Lagrange Point Subject	Orbital Mechanics
Concept Lagrange Point Description
	Every body that orbits another larger body has up to five lagrange points. These are points of gravitational stability between the two celestial bodies where a spaceship or anything really can rest.
	The first two points, L_1 and L_2 are located very close to the smaller body, while L_3 is located on the opposite side of the larger body. However, L_1, L_2, and L_3 are all unstable, which means they require constant stationkeeping to stay in them.
	L_4 is located in an equilateral triangle planar with the orbital plane, with the smaller body and the larger body forming two corners of the triangle, and L_4 forming the third corner. L_5 forms another equilateral triangle in the opposite direction (but still coplanar). Both L_4 and L_5 are stable, so ships can keep an orbit around them without spending fuel to stationkeep. L_4 and L_5 are zones rather than single points because they are stable, which means the entire general area can support ships and stations.
	When a ship orbits the L_4 and L_5 points, their orbits can take on any number of interesting shapes, from figure eight orbits to tadpole orbits to horseshoe orbits, relative to the smaller body. Note that these shapes do not move relative to the smaller body; all Lagrange Points are static relative to the smaller body, and orbit the larger body like any celestial body would.
	To reach any of the Lagrange Points from the smaller body, aside from L_1 and L_2, one needs to escape the gravity well of the smaller body, and enter an orbit around the larger body. For instance, to reach the Earth-Luna L_5 point while orbiting Luna, one would have to exit Luna's orbit and fall into Earth's orbit to reach that zone.

Concept Orbital Escape	Orbital Escape
Concept Orbital Escape Subject	Orbital Mechanics
Concept Orbital Escape Description
	Escaping the gravity well of a celestial body simply involves applying enough delta-v to achieve a hyperbolic trajectory about that body. Escaping that body's gravity well will leave your spacecraft in orbit of the parent body's gravity well.
	When making an escape from a circular orbit, for instance, it is intuitive that the wider the circular orbit is, the easier it is to escape, because wider orbits are slower than tighter orbits, thus, less delta-v is needed to break free. However, what may not be immediately obvious is that not every point on that circular orbit is equal in terms of delta-v needed to escape.
	A circular orbit is moving in a perpetually changing direction at a constant speed. If you wish to exit that circular orbit in a certain direction, the best place to exit would be at the point where the circular orbit's tangential velocity is already in the direction you wish to go in. In that case, you already have the orbit's high speed pay for some of the delta-v cost. In the worst case, when you are going the opposite direction as your orbit, you will have to essentially pay the delta-v needed for a retrograde orbit, and then the exit delta-v cost.
	Thus, waiting until you are at the right place in your orbit can save you delta-v when making an orbital escape. The downside is that you have to wait until you're at the right point on your orbit, which can be a problem when you have a tight time limit.
	A final note about exiting a body's gravity well: much as tangential burns are the most delta-v efficient way of changing orbital height, tangential burns are also the most delta-v efficient way of achieving escape velocity. Once again, this is not necessarily intuitive, as one might think burning directly away from the body would be most efficient.

Concept Orbital Elements	Orbital Elements
Concept Orbital Elements Subject	Orbital Mechanics
Concept Orbital Elements Description
	Every orbit around a celestial body can be described as a circle or an ellipse around that body. If it is circular, the orbited body is at the very center of that circle, but if the orbit is elliptical, the orbited body is at one of the foci of the ellipse, meaning that the ellipse is unsymmetric in terms of distance to the orbited body. This is why there is an apoapsis and a periapsis for elliptical orbits. See apsis for more information.
	Every orbit can be described using six orbital elements: Eccentricity, Semimajor Axis, Inclination, Longitude of the Ascending Node, Argument of the Periapsis, Mean Anomaly at Epoch.
	The Eccentricity of an orbit describes how elliptical it is, with zero being circular, and flattening into an ellipse as it approaches one. An orbit with an eccentricity greater than one is hyperbolic, meaning it does not orbit the body at all, and is instead executing a flyby.
	The Semimajor Axis of a body indicates the average major distance to the body's center, which for a circular orbit is simply the radius of the circle.
	The Inclination of an orbit is how inclined it is to a relative plane. If it is zero, the orbit can be thought of entirely in a two-dimensional fashion, relative to the plane it is in.
	The Longitude of the Ascending Node indicates exactly in what direction an inclined orbit is oriented. For instance, two orbits may have an inclination of 45°, but they will not be coplanar if their Longitude of the Ascending Node elements are different, as the 45 degree inclinations will be facing different directions. Obviously, this is irrelevant if the inclination is zero.
	The Argument of Periapsis indicates where the periapsis is along the orbit; in essence, how the orbit is rotated after the inclination is applied. This is irrelevant if the orbit is circular, since there will be no apsis.
	Mean Anomaly at Epoch is the final element, and it simply indicates where along the orbit the orbiting body is, relative to some point in time (the Epoch).

Concept Hyperbolic Trajectories	Hyperbolic Trajectories
Concept Hyperbolic Trajectories Subject	Orbital Mechanics
Concept Hyperbolic Trajectories Description
	Whenever a circular orbit is accelerated in, it becomes elliptical, and the faster one accelerates an orbit, the more elliptical it becomes. At a certain point, the eccentricity of that orbit exceeds one, meaning the orbital is no longer elliptical, and it is instead hyperbolic. An orbit which has an eccentricity of exactly one is parabolic, which is exactly in between elliptical and hyperbolic, but it's a rare case and not very relevant.
	Hyperbolic orbits are not truly orbits, because they don't periodically circle the target body, they simply approach the target body and then fly off in an escape trajectory. The amount of velocity required to achieve a hyperbolic trajectory from an orbit is called the escape velocity, because upon acheiving a hyperbolic trajectory, one escapes the orbited body's gravity well.
	A hyperbolic trajectory to a celestial body is simply an elliptical orbit to the parent body. For example, a hyperbolic trajectory about Luna would be an elliptical orbit around Earth, and a hyperbolic trajectory about Earth would be an elliptical orbit around Sol, and a hyperbolic trajectory about Sol is actually an elliptical orbit around the Milky Way Galactic Core.
	Missiles are often fired in hyperbolic trajectories at enemies, because the trajectory is faster, and there is no need to ever swing around a second time. If the missiles miss, they are not reused. They do not appear as orbits around the nearest body, instead appearing as straight lines because that truly is their path relative to that body. To achieve a hyperbolic trajectory, nothing special needs to be done; simply apply copious amounts of delta-v.

Concept Apsis	Apsis
Concept Apsis Subject	Orbital Mechanics
Concept Apsis Description
	Any elliptical orbit has two apsis: the apoapsis, which is the point on the orbit furthest from the orbited body; and the periapsis, which is the nearest point on the orbit to the body.
	Circular orbits have no such apsis, because all points on the orbit are equidistant from the orbited body.
	Assuming an elliptical orbit with apsis, the velocity at the periapsis is the highest, and the velocity at the apoapsis is the lowest, as the orbital speed is directly related to the distance to the orbited body. The significant velocity difference between the two apsis is often unexpected, and not necessarily intuitive, since in highly elliptical orbits, the orbiter will zoom through the periapsis, and then spend a very long time at the apoapsis.
	A good mnemonic to learn apsis to think "apo" is similar "apart", so the apoapsis is the further apart point of the ellipse, while the periapsis is the closest point of the ellipse.

Concept Hill Sphere	Hill Sphere
Concept Hill Sphere Subject	Orbital Mechanics
Concept Hill Sphere Description
	All celestial bodies have a roughly determined region of stability, called the Hill Sphere, which very approximately determines the region of stability for orbits around that body. Objects orbiting the body outside of this region will be unable to hold a stable orbit, even with stationkeeping. Outside the Hill Sphere, orbits will decay until the orbit becomes an orbit around the parent body. For instance, if orbiting Luna outside of Luna's Hill Sphere, the orbit will decay until the orbit becomes an orbit around Earth.
	This region's size is based on the masses of the orbited body and its parent body, and how far away it is from the parent body. For example, the Hill Sphere of Neptune is much larger than the Hill Sphere of Jupiter, because although it is less massive than Jupiter, it is significantly further away from Sol, and so Sol's gravity is much weaker at that distance.
	The Hill Sphere generally lies somewhat within with the L_1 and L_2 points of a body.
	When executing orbital maneuvers, any orbit which extends out further than the Hill Sphere (even if the periapsis lies within the Hill Sphere) is not stable, and thus, you will be unable to maintain such a stationkept orbit. Similarly, you will be unable to excecute orbital maneuvers that interact with the body, such as entering a circular orbit around the body, unless your fleet is within the Hill Sphere.
	Some bodies have a Hill Sphere that is smaller than the size of the body. This means it is impossible to orbit such bodies. Around gas giants, this tends to be true for the inner moons, while the outer moons tend to still have a hill sphere.

Concept Orbital Perturbation	Orbital Perturbation
Concept Orbital Perturbation Subject	Orbital Mechanics
Concept Orbital Perturbation Description
	Orbital Perturbation of an orbit is all the forces other than the gravity experienced from the primary gravitational body. Some examples include celestial body oblateness, radiation pressure, atmospheric drag, and the gravitational force from other nearby celestial bodies.
	Many of these effects are marginal, and can usually be ignored. However, gravitational forces from other celestial bodies can, in some cases, be huge. For example, an object orbiting Io, a moon of Jupiter, will experience a significant gravitational force from Jupiter. This will cause the orbit around Io to not be perfectly circular or elliptical, and in some cases, Jupiter's gravity will cause that orbit to decay. Over time, the object may be pulled completely out of Io's orbit.
	As a result, most spacecrafts perform stationkeeping most of the time, which keeps orbits perfectly circular or elliptical. Starting a trajectory will stop stationkeeping, however, and this is why trajectories may diverge heavily from the original orbital path.
	This divergence can cause many orbital techniques to fail, such as Orbit Phasing or Hohmann Transfers.

Concept Stationkeeping	Stationkeeping
Concept Stationkeeping Subject	Orbital Mechanics
Concept Stationkeeping Description
	Most ships are always performing stationkeeping, which is making tiny thrusts in order to keep their orbit perfectly elliptical or circular. Orbits over time degrade due to orbital perturbation and radiation pressure, but stationkept orbits stay perfectly periodic. As soon as you start a trajectory, your ships stop stationkeeping, so the orbit can decay or change completely over time.
	Orbital perturbation happens because planets and asteroids are not perfectly spherical, which causes the orbits to not behave perfectly elliptically. It also happens because other celestial bodies have their own gravitational pull, which affects everything. For example, a ship in a circular orbit around Luna will experience a significant gravitational pull from Earth, constantly pulling the orbit into a noncircular, unstable pattern.
	Radiation pressure is force applied from solar wind and the photons emitted from the sun, and can also perturb orbits over time.
	A final force that can affect orbits and make them non-elliptical is atmospheric drag; however, this is only relevant for spacecrafts in extremely low orbits around bodies with atmosphere.
	Because these forces can affect orbits and make them lose their perfect elliptical or circular nature, this can actually be a valuable technique to get around. After starting a trajectory, a spacecraft stops stationkeeping, and instead can be pulled around by the gravitational forces, and can sometimes get you where you need to be without expending any delta-v.

Concept Space Rendezvous and Interception	Space Rendezvous and Interception
Concept Space Rendezvous and Interception Subject	Orbital Mechanics
Concept Space Rendezvous and Interception Description
	In order for two ships to meet in orbit, or for two fleets to join up anywhere in space, a space rendezvous must occur. Space rendezvous, like the N-body problem, remains an unsolved problem in physics. All solutions are approximations, since rendezvousing in space while using a minimal amount of delta-v and in the shortest possible time is an optimization problem with 18 degrees of freedom (6 degrees of freedom, plus their first and second derivatives, although in practice, a number of these degrees of freedom can be pruned away).
	As a result, a space rendezvous is not always guaranteed. The rendezvous can fail due to the gravity of the nearest celestial body overwhelming the craft's acceleration, or it can take too much delta-v or time to be feasible. To ensure effective rendezvous, the attempt should start when the positions and velocities are as similar as possible between both fleets.
	Intercepting enemy fleets functions similarly. Something to note is that although retrograde intercepts are possible, the difficulty and the tiny window of time that ships are in range granted by the retrograde intercept makes them generally not useful.
	The best way to guarantee a cheap space rendezvous is to make sure the difference in velocity between the chaser and the target is as low as possible.

Concept Hohmann Transfer	Hohmann Transfer
Concept Hohmann Transfer Subject	Orbital Mechanics
Concept Hohmann Transfer Description
	A Hohmann Transfer is a technique to transfer between two circular orbits around the same body, but of different sizes. An example would be an interlunar transfer between two orbiting moons around a planet.
	To execute a Hohmann Transfer, one only needs to make two separate tangential burns. First, one burn causes the current orbit to become an ellipse until that ellipse osculates the target orbit. Then, when the craft reaches that osculation, the craft must then make another tangential burn to normalize it's ellipse into a circular orbit.
	If a specific position is desired along the target orbit, the Hohmann Transfer does not guarantee that unless Synodic Periods are taken into account. Alternatively, burning additional fuel can overcome this timing restriction.

Concept Synodic Period	Synodic Period
Concept Synodic Period Subject	Orbital Mechanics
Concept Synodic Period Description
	The orbital period of a body is the time it takes for that body to orbit it's parent body. The synodic period between two bodies is the time interval upon which those two objects appear at the same point in relation to each other. For example, if two moons are side by side but one is in a wider orbit, they will move at different speeds. They will no longer be side by side for quite a while, but they will eventually match back up after a period of time. That period of time is the Synodic Period.
